,fcn_wang,convnext,vit,trs,cpc,byol,simclr
acc,81.37,80.31,67.13,84.43,70.61,81.48,80.63
spe,90.76,89.77,81.43,91.95,83.87,90.88,89.74
sen,82.23,80.57,60.02,85.6,64.84,80.93,80.87
f1,79.33,78.88,61.31,83.8,65.68,78.77,79.43
mcc,70.67,68.39,44.83,75.12,51.23,70.71,68.74
